Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
464876,GDO_q9x4_2,COUNTRY,POL,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
6365671,GDO_q9x4_2,COUNTRY,IND,SEAR,YEAR,South-East Asia,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
2840499,GDO_q9x4_2,COUNTRY,TUR,EUR,YEAR,Europe,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
9489114,GDO_q9x4_2,COUNTRY,MYS,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
8747771,GDO_q9x4_2,COUNTRY,BRA,AMR,YEAR,Americas,,2017,,,,,,,,1589,1589.0,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
862097,GDO_q9x4_2,COUNTRY,SVN,EUR,YEAR,Europe,,2017,,,,,,,,648,648.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
6815702,GDO_q9x4_2,COUNTRY,GRC,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
6530904,GDO_q9x4_2,COUNTRY,GBR,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
5598933,GDO_q9x4_2,COUNTRY,SWE,EUR,YEAR,Europe,,2017,,,,,,,,5000,5000.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
2582019,GDO_q9x4_2,COUNTRY,COK,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
4181551,GDO_q9x4_2,COUNTRY,CHN,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
459206,GDO_q9x4_2,COUNTRY,CHE,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
2815703,GDO_q9x4_2,COUNTRY,BLZ,AMR,YEAR,Americas,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
983176,GDO_q9x4_2,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
3973306,GDO_q9x4_2,COUNTRY,ISR,EUR,YEAR,Europe,,2017,,,,,,,,18804,18804.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
5074511,GDO_q9x4_2,COUNTRY,CYP,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
3202290,GDO_q9x4_2,COUNTRY,NOR,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
6360495,GDO_q9x4_2,COUNTRY,EST,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
3778236,GDO_q9x4_2,COUNTRY,AUT,EUR,YEAR,Europe,,2017,,,,,,,,3000,3000.0,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
4473453,GDO_q9x4_2,COUNTRY,NLD,EUR,YEAR,Europe,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
7064205,GDO_q9x4_2,COUNTRY,CHL,AMR,YEAR,Americas,,2017,,,,,,,,2871,2871.0,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
9730917,GDO_q9x4_2,COUNTRY,SWZ,AFR,YEAR,Africa,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
5088111,GDO_q9x4_2,COUNTRY,AUS,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
9237939,GDO_q9x4_2,COUNTRY,ZAF,AFR,YEAR,Africa,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
3620529,GDO_q9x4_2,COUNTRY,DEU,EUR,YEAR,Europe,,2017,,,,,,,,51406,51406.0,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
618752,GDO_q9x4_2,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,2017,,,,,,,,20,20.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
4968522,GDO_q9x4_2,COUNTRY,ITA,EUR,YEAR,Europe,,2017,,,,,,,,8050,8050.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
4158305,GDO_q9x4_2,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
5126702,GDO_q9x4_2,COUNTRY,MUS,AFR,YEAR,Africa,,2017,,,,,,,,600,600.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
1257104,GDO_q9x4_2,COUNTRY,BRN,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
4715929,GDO_q9x4_2,COUNTRY,GRD,AMR,YEAR,Americas,,2017,,,,,,,,0,0.0,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
6672498,GDO_q9x4_2,COUNTRY,SGP,WPR,YEAR,Western Pacific,,2017,,,,,,,,5000,5000.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
6450781,GDO_q9x4_2,COUNTRY,THA,SEAR,YEAR,South-East Asia,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
8459916,GDO_q9x4_2,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
1390157,GDO_q9x4_2,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2017,,,,,,,,Not available,,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
9985614,GDO_q9x4_2,COUNTRY,DOM,AMR,YEAR,Americas,,2017,,,,,,,,1,1.0,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
1422305,GDO_q9x4_2,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,2017,,,,,,,,0,0.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
2186554,GDO_q9x4_2,COUNTRY,CZE,EUR,YEAR,Europe,,2017,,,,,,,,Not applicable,,,,,2021-03-23T09:11:49+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
4140243,GDO_q9x4_2,COUNTRY,LCA,AMR,YEAR,Americas,,2017,,,,,,,,35,35.0,,,,2021-03-23T09:11:50+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,"Adult day centre places (per 10,000 population)"
