Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
7028415,SA_0000001760_ARCHIVED,COUNTRY,FIN,EUR,YEAR,Europe,SEX,2010,SEX_BTSX,,,,,,,13.5 [10.0-17.2],13.5,10.0,17.2,,2018-09-27T10:36:18+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
7300911,SA_0000001760_ARCHIVED,COUNTRY,LKA,SEAR,YEAR,South-East Asia,SEX,2010,SEX_FMLE,,,,,,,0.7 [0.3-1.1],0.7,0.3,1.1,,2018-09-27T10:36:11+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
8182069,SA_0000001760_ARCHIVED,COUNTRY,CAN,AMR,YEAR,Americas,SEX,2010,SEX_FMLE,,,,,,,6.3 [4.0-8.8],6.3,4.0,8.8,,2018-09-27T10:36:18+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
1927693,SA_0000001760_ARCHIVED,COUNTRY,CRI,AMR,YEAR,Americas,SEX,2010,SEX_MLE,,,,,,,8.1 [5.3-11.2],8.1,5.3,11.2,,2018-09-27T10:36:13+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
5052189,SA_0000001760_ARCHIVED,COUNTRY,PHL,WPR,YEAR,Western Pacific,SEX,2010,SEX_MLE,,,,,,,5.9 [4.0-8.0],5.9,4.0,8.0,,2018-09-27T10:36:11+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
6489827,SA_0000001760_ARCHIVED,COUNTRY,NIC,AMR,YEAR,Americas,SEX,2010,SEX_BTSX,,,,,,,5.8 [3.7-8.0],5.8,3.7,8.0,,2018-09-27T10:36:11+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
3305854,SA_0000001760_ARCHIVED,COUNTRY,SVN,EUR,YEAR,Europe,SEX,2010,SEX_BTSX,,,,,,,12.8 [10.3-15.5],12.8,10.3,15.5,,2018-09-27T10:36:21+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
3135436,SA_0000001760_ARCHIVED,COUNTRY,EST,EUR,YEAR,Europe,SEX,2010,SEX_FMLE,,,,,,,8.8 [6.4-11.3],8.8,6.4,11.3,,2018-09-27T10:36:18+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
24981,SA_0000001760_ARCHIVED,COUNTRY,MWI,AFR,YEAR,Africa,SEX,2010,SEX_MLE,,,,,,,6.6 [3.1-10.1],6.6,3.1,10.1,,2018-09-27T10:36:06+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
4875265,SA_0000001760_ARCHIVED,COUNTRY,UGA,AFR,YEAR,Africa,SEX,2010,SEX_BTSX,,,,,,,8.0 [5.8-10.1],8.0,5.8,10.1,,2018-09-27T10:36:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
323106,SA_0000001760_ARCHIVED,COUNTRY,SUR,AMR,YEAR,Americas,SEX,2010,SEX_FMLE,,,,,,,5.3 [3.5-7.3],5.3,3.5,7.3,,2018-09-27T10:36:16+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
5185044,SA_0000001760_ARCHIVED,COUNTRY,KWT,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_BTSX,,,,,,,0.3 [0.1-0.5],0.3,0.1,0.5,,2018-09-27T10:36:19+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
2636122,SA_0000001760_ARCHIVED,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_BTSX,,,,,,,7.2 [3.9-10.4],7.2,3.9,10.4,,2018-09-27T10:36:20+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
9195174,SA_0000001760_ARCHIVED,COUNTRY,ZWE,AFR,YEAR,Africa,SEX,2010,SEX_MLE,,,,,,,10.4 [6.8-14.4],10.4,6.8,14.4,,2018-09-27T10:36:08+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
9157018,SA_0000001760_ARCHIVED,COUNTRY,CRI,AMR,YEAR,Americas,SEX,2010,SEX_BTSX,,,,,,,6.3 [4.6-8.1],6.3,4.6,8.1,,2018-09-27T10:36:13+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
4596457,SA_0000001760_ARCHIVED,COUNTRY,LSO,AFR,YEAR,Africa,SEX,2010,SEX_BTSX,,,,,,,9.3 [4.4-14.5],9.3,4.4,14.5,,2018-09-27T10:36:10+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
7072997,SA_0000001760_ARCHIVED,COUNTRY,KAZ,EUR,YEAR,Europe,SEX,2010,SEX_FMLE,,,,,,,6.0 [3.2-9.0],6.0,3.2,9.0,,2018-09-27T10:36:14+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
4001461,SA_0000001760_ARCHIVED,COUNTRY,NGA,AFR,YEAR,Africa,SEX,2010,SEX_FMLE,,,,,,,4.7 [3.2-6.3],4.7,3.2,6.3,,2018-09-27T10:36:11+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
4241884,SA_0000001760_ARCHIVED,COUNTRY,GAB,AFR,YEAR,Africa,SEX,2010,SEX_FMLE,,,,,,,4.7 [3.4-6.1],4.7,3.4,6.1,,2018-09-27T10:36:14+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
9284011,SA_0000001760_ARCHIVED,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,2010,SEX_MLE,,,,,,,3.5 [1.6-5.3],3.5,1.6,5.3,,2018-09-27T10:36:08+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
3008756,SA_0000001760_ARCHIVED,COUNTRY,UZB,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,13.3 [5.1-21.7],13.3,5.1,21.7,,2018-09-27T10:36:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
4552178,SA_0000001760_ARCHIVED,COUNTRY,GRD,AMR,YEAR,Americas,SEX,2010,SEX_MLE,,,,,,,18.5 [13.9-23.4],18.5,13.9,23.4,,2018-09-27T10:36:14+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
6261607,SA_0000001760_ARCHIVED,COUNTRY,SLV,AMR,YEAR,Americas,SEX,2010,SEX_MLE,,,,,,,6.2 [3.4-9.1],6.2,3.4,9.1,,2018-09-27T10:36:09+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
8517457,SA_0000001760_ARCHIVED,COUNTRY,ITA,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,9.5 [7.3-11.8],9.5,7.3,11.8,,2018-09-27T10:36:19+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
1549413,SA_0000001760_ARCHIVED,COUNTRY,LKA,SEAR,YEAR,South-East Asia,SEX,2010,SEX_BTSX,,,,,,,4.2 [2.3-6.4],4.2,2.3,6.4,,2018-09-27T10:36:12+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
1751050,SA_0000001760_ARCHIVED,COUNTRY,TCD,AFR,YEAR,Africa,SEX,2010,SEX_BTSX,,,,,,,12.2 [3.7-22.1],12.2,3.7,22.1,,2018-09-27T10:36:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
5248253,SA_0000001760_ARCHIVED,COUNTRY,COM,AFR,YEAR,Africa,SEX,2010,SEX_MLE,,,,,,,0.1 [0.0-0.2],0.1,0.0,0.2,,2018-09-27T10:36:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
2383122,SA_0000001760_ARCHIVED,COUNTRY,PHL,WPR,YEAR,Western Pacific,SEX,2010,SEX_BTSX,,,,,,,3.7 [2.7-4.7],3.7,2.7,4.7,,2018-09-27T10:36:11+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
316928,SA_0000001760_ARCHIVED,COUNTRY,TUR,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,25.6 [12.2-38.5],25.6,12.2,38.5,,2018-09-27T10:36:16+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
6990601,SA_0000001760_ARCHIVED,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_FMLE,,,,,,,0.0 [0.0-0.0],0.0,0.0,0.0,,2018-09-27T10:36:09+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
1093844,SA_0000001760_ARCHIVED,COUNTRY,LTU,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,34.9 [23.8-46.2],34.9,23.8,46.2,,2018-09-27T10:36:15+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
7662528,SA_0000001760_ARCHIVED,COUNTRY,IDN,SEAR,YEAR,South-East Asia,SEX,2010,SEX_BTSX,,,,,,,0.1 [0.0-0.3],0.1,0.0,0.3,,2018-09-27T10:36:10+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
3097479,SA_0000001760_ARCHIVED,COUNTRY,GNB,AFR,YEAR,Africa,SEX,2010,SEX_FMLE,,,,,,,2.8 [1.8-3.8],2.8,1.8,3.8,,2018-09-27T10:36:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
5058795,SA_0000001760_ARCHIVED,COUNTRY,BRA,AMR,YEAR,Americas,SEX,2010,SEX_MLE,,,,,,,13.6 [9.1-18.1],13.6,9.1,18.1,,2018-09-27T10:36:13+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
884954,SA_0000001760_ARCHIVED,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_FMLE,,,,,,,0.2 [0.0-0.4],0.2,0.0,0.4,,2018-09-27T10:36:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
9410865,SA_0000001760_ARCHIVED,COUNTRY,STP,AFR,YEAR,Africa,SEX,2010,SEX_BTSX,,,,,,,6.9 [3.6-10.3],6.9,3.6,10.3,,2018-09-27T10:36:11+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
3173605,SA_0000001760_ARCHIVED,COUNTRY,MWI,AFR,YEAR,Africa,SEX,2010,SEX_BTSX,,,,,,,4.0 [2.2-5.8],4.0,2.2,5.8,,2018-09-27T10:36:06+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
8372331,SA_0000001760_ARCHIVED,COUNTRY,NZL,WPR,YEAR,Western Pacific,SEX,2010,SEX_BTSX,,,,,,,9.5 [7.2-11.9],9.5,7.2,11.9,,2018-09-27T10:36:20+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
9582095,SA_0000001760_ARCHIVED,COUNTRY,AUT,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,14.3 [10.7-17.9],14.3,10.7,17.9,,2018-09-27T10:36:17+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
6103093,SA_0000001760_ARCHIVED,COUNTRY,DZA,AFR,YEAR,Africa,SEX,2010,SEX_FMLE,,,,,,,10.2 [7.3-12.8],10.2,7.3,12.8,,2018-09-27T10:36:13+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
7143093,SA_0000001760_ARCHIVED,COUNTRY,ESP,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,18.0 [12.7-23.1],18.0,12.7,23.1,,2018-09-27T10:36:21+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
4520685,SA_0000001760_ARCHIVED,COUNTRY,AUS,WPR,YEAR,Western Pacific,SEX,2010,SEX_BTSX,,,,,,,10.6 [8.1-13.3],10.6,8.1,13.3,,2018-09-27T10:36:17+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
7136855,SA_0000001760_ARCHIVED,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_FMLE,,,,,,,0.7 [0.3-1.2],0.7,0.3,1.2,,2018-09-27T10:36:20+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
6090584,SA_0000001760_ARCHIVED,COUNTRY,MWI,AFR,YEAR,Africa,SEX,2010,SEX_FMLE,,,,,,,1.3 [0.6-2.1],1.3,0.6,2.1,,2018-09-27T10:36:06+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
9372964,SA_0000001760_ARCHIVED,COUNTRY,ATG,AMR,YEAR,Americas,SEX,2010,SEX_FMLE,,,,,,,3.6 [2.6-4.8],3.6,2.6,4.8,,2018-09-27T10:36:17+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
7840357,SA_0000001760_ARCHIVED,COUNTRY,LCA,AMR,YEAR,Americas,SEX,2010,SEX_MLE,,,,,,,15.0 [11.5-18.9],15.0,11.5,18.9,,2018-09-27T10:36:16+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
10055927,SA_0000001760_ARCHIVED,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_BTSX,,,,,,,0.3 [0.1-0.7],0.3,0.1,0.7,,2018-09-27T10:36:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
570117,SA_0000001760_ARCHIVED,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_MLE,,,,,,,9.5 [4.4-14.4],9.5,4.4,14.4,,2018-09-27T10:36:20+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
1909239,SA_0000001760_ARCHIVED,COUNTRY,SSD,AFR,YEAR,Africa,SEX,2010,SEX_MLE,,,,,,,,,,,missing data,2018-09-27T10:36:22+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
8397878,SA_0000001760_ARCHIVED,COUNTRY,TLS,SEAR,YEAR,South-East Asia,SEX,2010,SEX_FMLE,,,,,,,0.7 [0.1-1.4],0.7,0.1,1.4,,2018-09-27T10:36:12+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
7384049,SA_0000001760_ARCHIVED,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,SEX,2010,SEX_FMLE,,,,,,,0.1 [0.0-0.2],0.1,0.0,0.2,,2018-09-27T10:36:10+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
948681,SA_0000001760_ARCHIVED,COUNTRY,COM,AFR,YEAR,Africa,SEX,2010,SEX_BTSX,,,,,,,0.1 [0.0-0.1],0.1,0.0,0.1,,2018-09-27T10:36:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
4647700,SA_0000001760_ARCHIVED,COUNTRY,KHM,WPR,YEAR,Western Pacific,SEX,2010,SEX_BTSX,,,,,,,4.3 [2.1-6.8],4.3,2.1,6.8,,2018-09-27T10:36:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
1839841,SA_0000001760_ARCHIVED,COUNTRY,BGR,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,18.8 [13.8-24.2],18.8,13.8,24.2,,2018-09-27T10:36:13+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
9954919,SA_0000001760_ARCHIVED,COUNTRY,SVN,EUR,YEAR,Europe,SEX,2010,SEX_MLE,,,,,,,16.0 [11.8-20.5],16.0,11.8,20.5,,2018-09-27T10:36:21+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
2946000,SA_0000001760_ARCHIVED,COUNTRY,MYS,WPR,YEAR,Western Pacific,SEX,2010,SEX_BTSX,,,,,,,2.0 [0.8-3.6],2.0,0.8,3.6,,2018-09-27T10:36:15+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,15-19 years old total alcohol consumption in litres of pure alcohol
