Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName
102180,MSM_CONDOMUSE_PERCENT,COUNTRY,BEN,AFR,YEAR,Africa,,2022,,,,,,DATASOURCE,DATASOURCE_GAM,56.6,56.6,,,Source: IBBS 2022,2025-03-20T10:33:15.227+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
1979683,MSM_CONDOMUSE_PERCENT,COUNTRY,THA,SEAR,YEAR,South-East Asia,,2012,,,,,,DATASOURCE,DATASOURCE_GAM,88.5,88.5,,,,2025-03-20T10:33:15.227+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
4686400,MSM_CONDOMUSE_PERCENT,COUNTRY,CPV,AFR,YEAR,Africa,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,63.9,63.9,,,,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
7733350,MSM_CONDOMUSE_PERCENT,COUNTRY,AZE,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,28.5,28.5,,,"Source: ""Study of HIV prevalence and risk factors in the behaviour of some vulnerable population groups in the Republic of Azerbaijan"" 2011",2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
2883331,MSM_CONDOMUSE_PERCENT,COUNTRY,CHN,WPR,YEAR,Western Pacific,,2013,,,,,,DATASOURCE,DATASOURCE_GAM,78.6,78.6,,,Source: 2013 National HIV sentinel surveillance,2025-03-20T10:33:15.227+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
6763838,MSM_CONDOMUSE_PERCENT,COUNTRY,DZA,AFR,YEAR,Africa,,2024,,,,,,DATASOURCE,DATASOURCE_GAM,32.7,32.7,,,Source: ETUDE BIO COMPORTEMENTALE IST/VIH/SIDA AUPRES DES POPULATIONS CLE ET ESTIMATION DE LA TAILLE DES POPULATIONS CLES AU NIVEAU DES 5 WILAYAS ALGER ORAN ANNABA TIARET ET TAMANRASSET IBBS 2024,2025-03-20T10:33:15.227+01:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
10158344,MSM_CONDOMUSE_PERCENT,COUNTRY,LTU,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,42.3,42.3,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
2763148,MSM_CONDOMUSE_PERCENT,COUNTRY,PRT,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,72.2,72.2,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
2130968,MSM_CONDOMUSE_PERCENT,COUNTRY,NIC,AMR,YEAR,Americas,,2014,,,,,,DATASOURCE,DATASOURCE_GAM,54.5,54.5,,,Source: Estudio de vigilancia de comportamiento sexual y prevalencias de VIH y Sífilis en poblaciones vulnerables y en mayor riesgo al VIH: Hombres que tienen sexo con hombres Transgénero femeninas Trabajadoras sexuales Usuarios de drogas inyectables y Personas con VIH en Nicaragua 2013,2025-03-20T10:33:15.227+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
8228123,MSM_CONDOMUSE_PERCENT,COUNTRY,BLR,EUR,YEAR,Europe,,2011,,,,,,DATASOURCE,DATASOURCE_GAM,63.4,63.4,,,,2025-03-20T10:33:15.227+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,Men who have sex with men: Condom use (percent)
