IndicatorCode,AIR_17,AIR_5,AIR_51,AIR_9,E_Group,E_compl_e11,E_compl_e12,E_compl_e13,E_compl_e14,HEPB_HBSAG_CARRIER,MCV2,MDG_0000000017,MDG_0000000020,MH_12,M_Group,NCD_BMI_30A,NCD_CHOL_MEANHDL_A,NCD_CHOL_MEANHDL_C,NCD_CHOL_MEANNONHDL_A,NCD_CHOL_MEANNONHDL_C,NCD_CHOL_MEANTOTALCHOL_A,NCD_CHOL_MEANTOTALCHOL_C,NCD_DIABETES_PREVALENCE_AGESTD,NCD_DIABETES_PREVALENCE_CRUDE,NCD_GLUC_03,NCD_GLUC_04,NCD_HYP_CONTROL_A,NCD_HYP_CONTROL_C,NCD_HYP_DIAGNOSIS_A,NCD_HYP_DIAGNOSIS_C,NCD_HYP_PREVALENCE_A,NCD_HYP_PREVALENCE_C,NCD_HYP_TREATMENT_A,NCD_HYP_TREATMENT_C,NCD_PAA,NCD_PAC,NUTOVERWEIGHTNUM,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_CHILDREN_PREV,PCV3,PHE_HHAIR_POP_CLEAN_FUELS,PHE_HHAIR_POP_POLLUTING_FUELS,PHE_HHAIR_PROP_POP_CLEAN_FUELS,PHE_HHAIR_PROP_POP_POLLUTING_FUELS,P_Group,P_compl_p2,P_count_places_sf,ROTAC,RS_198,R_Ad_val_estimate,R_Group,SA_0000001688,SA_0000001818,SDGAIRBOD,SDGHIV,SDGIHR,SDGPOISON,SI_POV_DAY1,TB_e_inc_tbhiv_100k,TB_rdst_num,TOBACCO_MPOWER_E1_DIRECTADBANS,TOBACCO_MPOWER_E2_INDIRECTADBANS,TOBACCO_MPOWER_M1_TOBACCOUSESMOKING,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,TOBACCO_MPOWER_NTCP,TOBACCO_MPOWER_OVERVIEW,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,TOBACCO_MPOWER_R_AFFORDABILITY,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,TOBACCO_MPOWER_R_PRICE,TOBACCO_MPOWER_R_TAX,TOBACCO_MPOWER_R_TAXADMINISTRATION,TOBACCO_MPOWER_R_TAXREVENUELATEST,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,TOBACCO_MPOWER_R_TAXSTRUCTURE,TOBACCO_MPOWER_W1A_CIGARETTES,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,TOBACCO_MPOWER_W2A_CIGARETTES,TOBACCO_MPOWER_W2B_TOBACCOSMOKED,TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,TOB_R_PRICE,VIOLENCE_HOMICIDERATE,W-MM_Group,W16_number_hw_B,W16_number_hw_C,W23_emissions_front_back_B,W23_emissions_front_back_C,W2_pc_front_back_B,W2_pc_front_back_C,W3_pc_front_B,W3_pc_front_C,W4_pc_back_B,W4_pc_back_C,WHOSIS_000001,WHOSIS_000002,WHOSIS_000004,WHOSIS_000007,WHOSIS_000015,WHS2_131,WHS3_46,WHS4_100,WHS4_117,WHS4_129,WHS4_544,WHS5_512,WHS8_110,WSH_SANITATION_BASIC,WSH_SANITATION_OD,WSH_WATER_BASIC,W_Group
E_Group,,,,,1.0,-0.03731129749604246,-0.004195147002037397,0.12128733518656123,0.06652076243140073,0.035572572332758005,0.17252018979315478,-0.11640127048144597,-0.13298887609508533,-0.048514699539482016,0.21834962426413543,0.052618919444113156,0.14363181476289305,0.14783826480966286,0.16115553568855986,0.17674745237717768,0.18394442263124391,0.18733623084773673,-0.033776935181477195,-0.02516690836442155,0.034905095890530695,-0.011069245129232097,0.05592036282601414,0.05064783464094337,0.050725674510223334,0.052024527587293375,0.012909596017261412,0.05957244929460366,0.06935225484688272,0.07006715277722372,-0.0033603331322622043,0.00949771284469657,0.013161502694544407,0.04758719646586216,-0.11792341263660812,0.19629191176544594,0.03171427653381682,0.031670246721654985,0.10437607728972272,-0.10044443349410116,0.3585877864027767,-0.21906435738414962,0.3683784305704485,0.1684211874032173,,0.10809112852112386,0.24480456072293438,-0.0031831911544221115,-0.0629931774051873,,-0.17848622643225098,0.15299494497189484,0.02523576014706962,-0.1809852603244114,-0.15778915861960546,0.014442186140875921,,,-0.30283835715063456,,-0.07303314293641129,0.355983413769957,0.37319692054162207,-0.01620883448642279,0.04494258009757904,0.036682450365999326,0.03137812393628075,,0.08580435203161794,,-0.07851620673001455,0.24710888056518832,0.22794619919572073,0.19514201308383639,0.18285019458949206,0.09999555751792308,-0.04403379200817921,0.032769453317940095,-0.24255030592448387,0.1855515760082056,0.12963679358900854,-0.04367795030102201,,,0.23324649335466496,0.20714230341763704,0.24086073319727797,0.19413599950011204,0.15827125201657385,0.14659646270646445,0.19599557036814844,0.19774351959068595,-0.22043172717291,0.10908748435897545,0.11689908071666484,-0.07401844229865143,0.04136003205204345,0.0613845249123179,0.023025123924276983,0.11287871508138993,0.0725819978573727,,0.05522643344864833,0.09864181647536598,-0.07777202423163293,0.10196636372306063,0.5000841276670516
E_compl_e11,,,,,-0.03731129749604246,1.0,0.7770944731443032,0.4832089778439254,0.43864998746095457,,0.40086684545854395,-0.3403512490394118,-0.3057442722540679,,0.43105386538144513,0.30037095835990263,,,,,,,-0.06817986685835853,0.08104856675930118,,,,,,,,,,,0.04437932035729086,0.10856612836557394,-0.25111035934097586,0.33053329516229224,,0.13584064337964927,-0.23711016903161536,-0.29826523884770717,0.39056475211863495,-0.40411454606641484,0.024103314385603432,0.4511776207704845,-0.0084877280183609,-0.10896822931956118,,,0.358632907392979,0.28015307134895207,0.26047908965062794,,-0.09673386433304818,,,,-0.10581020246449045,,,,,,-0.3295089756779099,0.16160178388699264,-0.05413490430177137,-0.1526068245440203,0.09385092769157868,-0.1576456813334494,0.12176510939252987,,0.12817236531970913,,0.2145779848726706,0.03940244212897068,-0.004660909392369548,-0.3577620183077156,0.3207767750912255,0.33441681135715434,-0.1513019361377857,-0.07457334496885251,,0.25905655580065445,0.28332419414138255,-0.1402514419502868,,,-0.043592547475999326,-0.37600340030321355,-0.026468765759872788,-0.3872684167833697,-0.05126930491180517,-0.35299316042069295,,,,,,,-0.2630079035552507,0.22987251110961446,0.07659168430365301,0.23636424770013162,0.24982154055006672,,0.3460451099008587,0.46508685219291973,-0.3738417542067838,0.42401637548159854,0.06804659247164548
E_compl_e12,,,,,-0.004195147002037397,0.7770944731443032,1.0,0.5158587135246919,0.5035181407425376,,0.3690327791642922,-0.2529148622510679,-0.21029173259560785,,0.3770671051303462,0.10907309319032225,,,,,,,-0.24243553864763154,-0.13440351882089896,,,,,,,,,,,-0.039695489719742134,0.018770180956055857,-0.09095914969459062,0.2545589350250456,,0.14382702410103596,-0.10061027859491252,-0.13192358530833007,0.31846704288467864,-0.31372832985578963,0.07589877444138597,0.3750217467484526,0.03545429988975491,-0.04961448766534448,,,0.42014610335889496,0.30849519271889125,0.3018704502018083,,-0.07356775064980278,,,,-0.045415071949776606,,,,,,-0.1312185761797809,0.10446372183911694,0.0009065953674285372,-0.06445651602949977,0.08947126221540147,-0.10210638331747848,0.28132476914344473,,0.13378814519731733,,0.21513830049884894,0.002048462227254247,-0.00791299919431242,-0.26338559764616665,0.3704156333655551,0.32362683785973506,-0.003651556657867376,-0.12374522396227977,,0.3216662215549986,0.28040507649947144,-0.013212007215150224,,,-0.023482452852733607,-0.31005806166693195,-0.026060052876916855,-0.3105457376535747,-0.017555460406301703,-0.2934566782568757,,,,,,,-0.22938180684795473,0.23476185706409436,-0.022648763444045362,0.2221988129744896,0.24797226411775572,,0.30962401004667156,0.2874124860514621,-0.25330640437272295,0.2247005332252321,0.09347785321480756
E_compl_e13,,,,,0.12128733518656123,0.4832089778439254,0.5158587135246919,1.0,0.8177223822667857,,0.07544032636592275,-0.06032394764306209,-0.08574567490376893,,0.11580372641904296,0.09944782853109989,,,,,,,-0.11498667319602059,-0.0500962352777089,,,,,,,,,,,-0.0010063305423003263,0.03077162676651839,0.05933641862058622,0.08300251471511111,,-0.017008501346469928,0.01184966657934139,-0.023440264967270655,0.23324253698169184,-0.18355114883677578,-0.016227709667855274,0.35572877100717754,-0.018381862588141257,0.013127392808487905,,,0.12129585689586482,0.13790795449772364,0.07943273409252781,,-0.05854512911382247,,,,-0.05698188637775409,,,,,,-0.09077221366654095,0.1149326337030832,-0.009894615209781391,0.00044032678628302903,0.11417724470873435,-0.09926200389692476,0.12750583873761384,,0.179680176795073,,-0.022100759593816407,-0.0411727469746364,-0.03156483726994291,-0.21492576885786663,0.17074846660710485,0.1787249704717843,-0.1686273912405362,-0.048923507254236775,,0.12315430935724885,0.16294269469936543,-0.14533586034242946,,,-0.0028485238967452084,-0.20291093509624247,-0.05363039947935772,-0.20898290089879829,0.03818051549036131,-0.19614371473550482,,,,,,,-0.09089014735182796,0.07380097508839557,-0.09209115179450933,0.0025591457777889132,0.07287099854997973,,0.127544938818605,0.08364761232102833,-0.2111445344111931,0.15228597481803757,0.15149644435654328
E_compl_e14,,,,,0.06652076243140073,0.43864998746095457,0.5035181407425376,0.8177223822667857,1.0,,0.2544661324248224,0.00888023302238352,-0.009170557364952916,,0.06755299867498667,-0.0757791548918966,,,,,,,-0.13982164639970376,-0.09033555058617872,,,,,,,,,,,-0.10972553274540407,-0.09453541335985455,-0.17118675116555823,-0.019761965312211662,,0.04775658906337367,-0.11462478780501678,-0.2856519645183381,0.09535230655530307,-0.08429182530876506,0.05466598350875625,0.43980885092973737,0.046544250557320845,0.12539123695699803,,,-0.18283064488309117,0.19250682362051505,0.07174334673031539,,-0.04015973944279034,,,,-0.0650516537394072,,,,,,-0.07962649068183834,0.2165092416432254,0.046544250557320845,0.11861636203976998,-0.012240186038635477,-0.08529963672314557,0.25945616074001043,,0.057379190183422364,,0.08880165302686281,0.1731074681392974,0.1830091685240541,0.0314206309104211,0.30846235566304325,0.26699869181671715,0.06184636566357971,0.20387561955150724,,0.019812098108571662,0.25045698565040875,0.08393875985207173,,,0.1830091685240541,0.03586057332958967,0.13637515048583843,0.023613062559919008,0.21370431221602504,0.04349624312436435,,,,,,,-0.016459841090104652,0.17084103078941829,0.021449433337578087,0.17701069258115523,0.11464798867826742,,0.24441996765176785,0.12156439402985678,-0.18678742584212504,0.10451984099479984,0.15846072392164803
HEPB_HBSAG_CARRIER,,,,,0.035572572332758005,,,,,1.0,-0.017777516693012585,0.06829619616916728,0.06508506514393346,0.015064164096703005,0.054425094214164485,-0.15124507045797406,-0.09726219986170435,-0.09742066317426336,-0.03579829550365541,-0.05315376202142706,-0.07772960717336812,-0.08479508360713453,-0.00939900240917473,-0.01768217986798922,,,-0.11290129257743789,-0.10981068954490988,-0.16658841477704542,-0.1565369353406694,-0.09806083434976945,-0.10867177597282,-0.1371677480021443,-0.13162960334516274,-0.004676986949700084,-0.014434906670691075,0.2753297598605112,-0.06445845543793086,0.1305748218015016,-0.06821840094554349,0.2172430909836381,0.29694534626351426,-0.016516265393869,0.059262217150835114,-0.09081575266442293,,-0.0564601034164633,-0.027014062501451414,,0.08448765929557543,0.0347606601308121,-0.04035453916274406,,,-0.007832584967848286,0.07092428850104562,0.028731728034852515,0.06786156651632148,-0.012269936894610032,0.40812051337653865,,,,,0.2583631255569644,0.02766811301832821,-0.07713296847409545,-0.018559712584353672,-0.010056002664450947,-0.010333923670266464,0.06525738629730456,,,,,-0.05762159165503334,-0.04174509910553409,0.2125792144092399,-0.1416387514263606,-0.133326217357868,-0.07048749943914964,-0.003387057258346143,-0.03992002608010865,0.12849338538523358,-0.12993290125527562,-0.06052800982528104,,,-0.05279791177242964,0.19434011042198243,-0.05464744618021984,0.20971043325401903,-0.048320863588612664,0.1673986586055309,-0.0388741027994308,-0.0349727545813624,0.00462981405798171,-0.044225710081417416,-0.04056372796876468,0.0066123734395845055,0.37037876262922814,-0.03167009811558377,0.005900938148491191,-0.24450629491070971,-0.039713579999604266,,-0.026808802252589768,-0.07572580493518816,0.03102136048586398,-0.07223032553810738,-0.026402288707126065
MCV2,-0.29712545210611047,0.07362224899403141,-0.22822349757871965,-0.07778443000155565,0.17252018979315478,0.40086684545854395,0.3690327791642922,0.07544032636592275,0.2544661324248224,-0.017777516693012585,1.0,-0.5126928657479871,-0.36212125652301197,-0.08187762798636775,0.4186090754875593,0.4567253960022619,0.35250311738336626,0.3543864802722696,0.4803888736779862,0.5071214878759538,0.49075954482203854,0.5001887721119376,0.2197699959003934,0.36026563184054466,0.4474525351524882,0.298823083401727,0.446540293746014,0.43798650078433743,0.5678422969146052,0.5534003158214119,0.22024243389637124,0.3559823675256071,0.5885004764447982,0.5707823299628719,0.2507274608986571,0.3101946549608043,0.00939076463495088,0.35404622493643145,-0.37659896285987865,0.2029595444421998,0.033001091527371136,-0.05925558998382967,0.6079636546508929,-0.5995405372357383,0.15199325238210185,0.3785309357018773,0.1548912526869476,0.10427563030101672,-0.4643893411843183,0.04005706079590465,0.31343885277049893,0.23610704987069536,0.1849392495146495,-0.11627393675267679,-0.18031703667051588,0.4638687418065054,-0.04206719069019571,-0.5160379604599911,-0.2113635015135143,0.015646464019272475,0.08915738242230194,0.034110583063123145,-0.5157084177680937,,0.04095893006749032,0.23919656635851969,0.16111309305922367,-0.3077551386130323,0.030532130831250275,-0.02367624339212741,0.12531300415981364,,0.02067857782982156,0.04776781018485048,0.2090516096184817,0.1259792847610581,0.10728081071199966,-0.05768786640199952,0.32862533556411777,0.32368866426464804,0.0797391130513297,-0.028695849662567732,-0.12058445683259565,0.1946386181992521,0.32877487783621856,0.08512602907407443,,,0.10154314502416407,-0.07064472108607349,0.07586107743538578,-0.0803458729656659,0.1179129864394581,-0.07949839760520282,0.5727571731774138,0.5812219092198088,-0.47164116143245627,0.44089396597715136,0.44509526341448125,-0.20135645848496092,-0.11338708376025589,0.5667932313300866,0.40065306205191126,0.36581042624363275,0.5570235524836368,-0.5267082008414374,0.607380685519266,0.6498008340933544,-0.48606895662898153,0.5554550217503558,0.2743747722143803
MDG_0000000017,0.17321769687240612,-0.0953299031304783,0.4570250961807552,-0.014263606060342991,-0.11640127048144597,-0.3403512490394118,-0.2529148622510679,-0.06032394764306209,0.00888023302238352,0.06829619616916728,-0.5126928657479871,1.0,0.7747369539764375,0.15303854920195556,-0.37635132386248726,-0.4308047250288172,-0.3763835974882066,-0.38373932880705675,-0.5515104751773348,-0.5721292178715639,-0.5680109850647743,-0.5651240765313725,-0.09569070700503655,-0.23203636860552354,-0.3520151746288799,-0.19510277739920698,-0.46496144600248107,-0.4599358455624842,-0.5657544826411945,-0.5564461877975472,-0.11044978961024225,-0.2683625337442029,-0.5884123560291628,-0.5784237353780554,-0.3529497937737515,-0.4157051226625778,0.010423189073538494,-0.31051139716868875,0.40079595650205907,-0.14879177645736943,-0.012509449133342482,0.08063900066524377,-0.6195968146376194,0.619763727334118,-0.1466554738882554,-0.22883250682951853,-0.15850199034401888,-0.0666295747669632,0.37145936961273596,-0.15788969533730868,-0.3381422496306277,-0.2979368929232462,-0.2638817091038662,0.07448368739820947,0.3473642608829136,-0.3646289346763048,0.24471506378219354,0.6374296535845048,0.4450399207350459,0.09843715909392445,,,0.7141118243347772,,-0.015659769495911836,-0.21723554340803278,-0.15706457867963586,0.33271404966727264,-0.022990413272342747,-0.010802822088130645,-0.15601045836671015,,-0.052801912030309914,,-0.2635206452034806,-0.023659306201769266,0.03534601793619448,0.2205614113175809,-0.29804019412013094,-0.2711859558320601,0.0315095587389235,-0.008264302494912027,0.07389338044325296,-0.1470230802855224,-0.26681450872160517,0.02781566055210396,,,0.01958954733007308,0.2703528730713362,0.042045792070385044,0.2294310728575998,-0.020797764025981456,0.25885738460447394,-0.7023258916257136,-0.7037686706052645,0.6382813265185656,-0.6268669958488,-0.6187271595510082,0.35702491886856524,0.16739448775902607,-0.5582737515609374,-0.308110562671712,-0.39468486758433013,-0.563757256104892,0.4444339195807274,-0.5568302583242509,-0.661665698963165,0.4338467300001832,-0.5995399162699332,-0.2578863534931577
MDG_0000000020,0.23398558998940924,-0.06759377008330518,0.49456576099617444,0.016296808059312645,-0.13298887609508533,-0.3057442722540679,-0.21029173259560785,-0.08574567490376893,-0.009170557364952916,0.06508506514393346,-0.36212125652301197,0.7747369539764375,1.0,0.2514955282786459,-0.241034104225072,-0.32485482446215513,-0.26785508509724376,-0.28265679151678974,-0.5042625263236908,-0.528064522010656,-0.5075416468544174,-0.5111391419133862,-0.08038630012804965,-0.20973023604117322,-0.28544075214131376,-0.13908685586543326,-0.3615503171928868,-0.36291022571697457,-0.4294943041607687,-0.43121059220305746,-0.03021872891483462,-0.1908085649195685,-0.45008208734369165,-0.4537325460317027,-0.26469418550079876,-0.3268370458688926,0.0004898147314862508,-0.1622474374757363,0.2967820028581656,-0.1320496873982661,-0.008970935194287035,0.05488124417853183,-0.5112750885558667,0.5079328947808744,-0.12938485343915967,-0.07314411467150715,-0.13138846017603303,-0.04733582784812138,0.3878593089722731,-0.21801071798396152,-0.28574960887999357,-0.20732456025720628,-0.236782579200804,0.02639305759588415,0.7409173308641291,-0.24027218377727547,0.25722547282712377,0.5102354423114392,0.8292109143047394,0.1499874207958849,,,0.3783661098276534,,-0.012423140922879545,-0.174338882345443,-0.12977457939092202,0.2611750118536778,-0.026801464300646814,-0.01079883034415597,-0.10730389895283345,,-0.043960439593972674,,-0.31090365157206956,-0.08644308768439407,-0.0826339119112044,0.08626980357595668,-0.2755601713961977,-0.23848407094072743,0.0478251442344445,-0.008032857745717902,0.17835421158996093,-0.12341704260255786,-0.23367111361393816,0.04940055955206994,,,-0.0950405234609325,0.12149962827687885,-0.06801933201428352,0.06392683764630533,-0.1228076550716711,0.13298474816234893,-0.6943231537862804,-0.690035673406156,0.7607299022340531,-0.6051217659936969,-0.6029727354875059,0.3780942103186904,0.10578032161214222,-0.3625950472718044,-0.1712778672701989,-0.31708276831487353,-0.3735178262106998,0.286751583544537,-0.3589308238972876,-0.5395863555730457,0.34100282769133045,-0.4475463745044064,-0.2500623134394451
MH_12,0.18644104186423083,0.07996494087232824,0.1877873380370866,0.03303177324655698,-0.048514699539482016,,,,,0.015064164096703005,-0.08187762798636775,0.15303854920195556,0.2514955282786459,1.0,-0.025776784496850766,-0.17043297611742142,0.19153510409824506,0.1770825415917049,-0.11891132000507112,-0.08913276947182047,-0.029541583808554747,-0.008167797741271184,-0.2362322757878678,-0.2003733727413904,-0.08522695056247502,-0.18360600852538386,-0.11984667260286344,-0.1002272968352618,-0.02871092382351079,0.004719007398840174,0.12526363252157527,0.1929388657079858,-0.10001448820186594,-0.057623521881319195,-0.28742896107692695,-0.26104307688064277,-0.0006857198806893032,-0.0898788763247329,0.06065596047416747,-0.018298000103026353,-0.00012466395056465036,0.018154093724844902,-0.12364356138987585,0.13044048515657541,-0.17741218577069556,,-0.16714940184334642,-0.027653629027507485,0.15231012439477704,-0.11970229880394898,0.012932811946452452,0.25634313425698074,0.19485965314563744,0.03137323857320907,0.3447306654546609,-0.04787879981533599,0.5309342846707571,-0.007146182948178745,0.3052983247094739,0.02755557452772205,,,,,0.12546825074414414,-0.012286405852255477,-0.1664867650296865,0.19327066289906206,-0.06605749128085049,-0.02040202583692528,0.006980494051007621,,,,,-0.0065848254040326145,0.016894529366744047,-0.1312068467324017,0.05320109180956855,0.12307358685890801,-0.15322552464702333,-0.02150857203412683,0.03859475812222887,-0.05881320154622065,0.1303786419197243,-0.11946206942242385,,,-0.007797311869865605,-0.13859337194856175,-0.02392472464808273,-0.06956668210630913,0.007178986906181023,-0.14533706638034355,-0.31344436396035,-0.3140668909795629,0.44908050676683164,-0.3058040691591077,-0.29448309126054373,0.35207114786280264,0.02844238970352244,-0.05461369561953173,-0.13622221304215973,-0.13826099939189604,-0.060914683838325545,0.06487366200754963,-0.05445830848341723,-0.1510831239794477,0.10295503636114742,-0.12255444300794348,-0.059721506046174516
