,CountryCode,Year,NCD_BMI_30A,NCD_DIABETES_PREVALENCE_CRUDE,NCD_GLUC_03,NCD_PAA,SI_POV_DAY1,WHS5_512,WHOSIS_000001,WSH_SANITATION_BASIC,PHE_HHAIR_PROP_POP_POLLUTING_FUELS
91,GNB,1996.0,3.0149234,5.1683214,3.2,,,,,,98.3
92,MLI,2015.0,8.5115127,5.1721614,,31.864065,,,60.12125985,37.85781,99.0
93,COK,2002.0,55.717331,27.172467,21.1,54.304577,,,,82.21276,18.8
94,SLV,2018.0,28.647074,11.383557,,37.483559,,,74.65055232,86.51366,10.1
95,PAN,2005.0,20.867297,6.4709872,6.9,40.249882,10.0,,76.45196957,67.42794,0.0
96,BGR,1990.0,11.595149,6.7988604,7.0,,,,,,
97,BRA,1992.0,9.2648998,5.295217,4.9,,,,,,20.5
98,YEM,2012.0,9.1545396,10.117746,7.2,24.850252,,,68.26819831,50.519,41.3
99,ROU,2001.0,12.194241,4.3080263,6.5,19.36277,,,71.21463166,74.44028,0.0
100,URY,2019.0,30.674666,15.835223,,32.982941,,,77.01365627,97.7678,0.0
101,BRA,1993.0,9.5920049,5.4226704,5.0,,,,,,18.8
102,PNG,2013.0,17.107564,17.706376,11.3,13.832394,,67.0,65.47647701,18.76937,91.5
103,SOM,2014.0,10.406199,6.6923149,4.8,18.526941,,,53.08816189,33.01001,98.2
104,CUB,1999.0,10.244083,8.6810052,7.2,,,,,,41.1
105,EST,1993.0,14.204301,5.0958399,7.6,,,,,,0.0
106,PLW,1999.0,36.347061,18.071935,16.5,,,,,,0.0
107,SSD,1991.0,1.7448656,4.3708704,,,,,,,98.9
108,EUR,2013.0,20.575109,9.0481691,8.8,24.854725,,3.40924,76.70126192,95.59055,2.75
109,ASM,2018.0,74.0816,31.153789,,,,,,,
110,SLB,2016.0,20.364606,5.9555706,,21.363539,,,65.29462393,32.75394,91.4
111,UZB,2008.0,17.54715,7.8609087,6.6,14.49408,,,65.44084852,94.57739,14.6
112,MNE,2006.0,13.093477,7.9445973,7.8,20.09519,0.1,,74.28740727,90.64151,34.6
113,STP,2015.0,12.923551,10.485071,,17.733757,,,70.55687146,39.81179,97.9
114,VEN,2010.0,22.418727,10.026491,8.2,40.82774,,,74.662242,91.85208,3.2
115,UZB,1992.0,8.5751221,5.67661,4.2,,,,,,22.5
116,JOR,2003.0,32.016581,13.008717,9.7,26.737394,,,73.51735567,98.57306,0.2
117,TTO,1994.0,16.830981,11.222991,4.9,,,,,,0.0
118,ALB,1990.0,10.904262,4.4556823,4.3,,,,,,83.0
119,TJK,2008.0,14.619495,8.1296116,5.7,28.619688,,,69.0368299,92.71197,36.35
120,TKL,2006.0,62.237263,34.764668,,,,,,,67.2
121,TZA,2016.0,9.2205554,5.205204,,5.8118677,,,65.60342077,25.61502,96.0
122,LBN,1990.0,14.540651,8.3451904,7.0,,,,,,
123,SEN,2005.0,6.0559209,6.0267489,4.4,19.957777,37.4,,62.36297007,42.05448,62.6
124,THA,2001.0,5.9826177,7.0492752,6.3,16.350235,,,71.72869386,92.68899,38.7
125,PSE,2001.0,27.994752,11.246589,,41.389759,,,69.33250971,90.39238,
126,BTN,1990.0,1.6587622,7.5199969,4.8,,,,,,95.8
127,LAO,2004.0,3.0276496,4.649375,4.7,16.182041,,,60.73825821,40.29335,98.2
128,BIH,2008.0,16.105235,10.842019,8.7,16.661081,,,76.76846848,95.18446,53.7
129,AUT,1998.0,11.426907,6.1001007,5.3,,,,,,0.0
130,JAM,2010.0,24.90346,14.679354,10.3,32.744747,,,73.95794492,84.70495,13.7
